variety_name,crop_full,registrant,year,detail_url
PLENTY F1,Cauliflower (Brassica oleracea var. botrytis  ),CONTINENTAL SEEDS,2021,https://www.tosci.go.tz/seed-varieties/plenty-f1
Pluto F1,Butternut (Cucurbita moschota),Balton Tanzania Ltd,2023,https://www.tosci.go.tz/seed-varieties/pluto-f1
POLI,Amaranth  (Amaranthus spp ),HORTI- Tengeru,2021,https://www.tosci.go.tz/seed-varieties/poli
Polista,Sweet potatoes (Ipomea batatas  L.),ARI – Ukiriguru,2013,https://www.tosci.go.tz/seed-varieties/polista
PRETORIA F1,Cabbage (Brassica oleracea var. capitata  ),REGINA SEED LTD,2021,https://www.tosci.go.tz/seed-varieties/pretoria-f1
Prima F1,Chinese Cabbage  (Brassica rapa),EASI Seeds Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/prima-f1
PRIMARINO RZ F1.,Tomato (Solanum lycopersicum),Rijk Zwaan Afrisem Ltd,2021,https://www.tosci.go.tz/seed-varieties/primarino-rz-f1
PRINCE F1,Cucumber (Cucumis sativus  ),REGINA SEED LTD,2021,https://www.tosci.go.tz/seed-varieties/prince-f1
PRINCESS F1,Watermelon  (Citrullus lanatus    ),KIBO SEEDS Co. Ltd.,2021,https://www.tosci.go.tz/seed-varieties/princess-f1
PVH 2254,Tobacco (Nicotiana tabacum L.),TORITA,2018,https://www.tosci.go.tz/seed-varieties/pvh-2254
PVH 2259,Tobacco (Nicotiana tabacum L.),TORITA,2018,https://www.tosci.go.tz/seed-varieties/pvh-2259
PVH 2275,Tobacco (Nicotiana tabacum L.),TORITA,2018,https://www.tosci.go.tz/seed-varieties/pvh-2275
PW 416 F1,Watermelon  (Citrullus lanatus    ),Pop Vriend (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/pw-416-f1
PW 417 F1,Watermelon  (Citrullus lanatus    ),Pop Vriend (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/pw-417-f1
Pwani,Cassava  (Manihot spp.),ARI Naliendele,2012,https://www.tosci.go.tz/seed-varieties/pwani
Pwani H04,Maize (Zea mays L.),Kenya Seed Co,2001,https://www.tosci.go.tz/seed-varieties/pwani-h04
QUINA F1,Chinese Cabbage,CONTINENTAL SEED COMPANY LTD,2025,https://www.tosci.go.tz/seed-varieties/quina-f1
R 570,Sugar cane (Saccharum officinarum),SRI-Kibaha,2014,https://www.tosci.go.tz/seed-varieties/r-570
R 575,Sugar cane (Saccharum officinarum),SRI-Kibaha,2014,https://www.tosci.go.tz/seed-varieties/r-575
R 579,Sugar cane (Saccharum officinarum),SRI-Kibaha,2014,https://www.tosci.go.tz/seed-varieties/r-579
R570,Sugar cane (Saccharum officinarum),Tanzania Agricultural Research Institute (TARI,2021,https://www.tosci.go.tz/seed-varieties/r570
R85/1334,Sugar cane (Saccharum officinarum),Tanzania Agricultural Research Institute (TARI),2021,https://www.tosci.go.tz/seed-varieties/r85-1334
RADAH F1,Sweet pepper (Capsicum annuum),Pop Vriend (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/radah-f1
RADAR F1,Sweet pepper (Capsicum annuum),Pop Vriend (T) Ltd,2021,https://www.tosci.go.tz/seed-varieties/radar-f1
Rakodzi,Sorghum (Sorghum bicolor (L.),Klein Karoo Seed Marketing Zimbabwe,2019,https://www.tosci.go.tz/seed-varieties/rakodzi
RAMBO F1,Tomato (Solanum lycopersicum),REGINA SEED LTD,2021,https://www.tosci.go.tz/seed-varieties/rambo-f1
Rampart,Rape (Brassica napus),Seedco Tanzania Ltd,2023,https://www.tosci.go.tz/seed-varieties/rampart
RANDAH F1,Tomato (Solanum lycopersicum),Balton Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/randah-f1
RANGER F1,Tomato (Solanum lycopersicum),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/ranger-f1
Rangi Mbili,Cassava  (Manihot spp.),ARI-Ukiriguru,2009,https://www.tosci.go.tz/seed-varieties/rangi-mbili
RAS F1,Hot pepper (Capsicum annuum ),Balton Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/ras-f1
RAVA FSC,Chinese Cabbage  (Brassica rapa),Continental Seeds co Ltd,2023,https://www.tosci.go.tz/seed-varieties/rava-fsc
RED BOMBAY,Onion (Allium cepa L  ),TASTA,2021,https://www.tosci.go.tz/seed-varieties/red-bombay
RED CARABIAN,Hot pepper (Capsicum annuum ),AFRICASIA Seed CO. LTD,2021,https://www.tosci.go.tz/seed-varieties/red-carabian
RED COACH F1,Onion (Allium cepa L  ),REGINA SEED LTD,2021,https://www.tosci.go.tz/seed-varieties/red-coach-f1
RED CORNET F1,Onion (Allium cepa L  ),CONTINENTAL SEEDS,2021,https://www.tosci.go.tz/seed-varieties/red-cornet-f1
RED CREOLE,Onion (Allium cepa L  ),TASTA,2021,https://www.tosci.go.tz/seed-varieties/red-creole
RED JET RZ F1,Sweet pepper (Capsicum annuum),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/red-jet-rz-f1
RED KING F1,Onion (Allium cepa L  ),Vegseed (E.A) Company,2021,https://www.tosci.go.tz/seed-varieties/red-king-f1
RED KNIGHT X3R,Sweet pepper (Capsicum annuum),MONSANTO TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/red-knight-x3r
RED MANTEL FCS,Onion (Allium cepa L  ),CONTINENTAL SEEDS,2021,https://www.tosci.go.tz/seed-varieties/red-mantel-fcs
Red Mwitunde,Ground nut (Arachis hypogeae L.),ARI Naliendele,1976,https://www.tosci.go.tz/seed-varieties/red-mwitunde
RED PLANET,Onion,EPINAV AGRICULTURAL SOLUTIONS,2025,https://www.tosci.go.tz/seed-varieties/red-planet
RED QUEEN F1,Onion (Allium cepa L  ),East African Seeds (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/red-queen-f1
RED ROYALE F1,Papaya (Carica papaya  ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/red-royale-f1
RED SANGA F1,Onion (Allium cepa L  ),East African Seeds (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/red-sanga-f1
RED THUNDER F1,Cabbage (Brassica oleracea var. capitata  ),SEEDCO TZ Ltd.,2021,https://www.tosci.go.tz/seed-varieties/red-thunder-f1
REVELATION,Sweet pepper (Capsicum annuum),Monsanto Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/revelation
RG 17,Tobacco (Nicotiana tabacum L.),Tanzania Leaf Tobacco Company,2006,https://www.tosci.go.tz/seed-varieties/rg-17
RIO GRANDE,Tomato (Solanum lycopersicum),TASTA,2021,https://www.tosci.go.tz/seed-varieties/rio-grande
RIONEX,Tomato (Solanum lycopersicum),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/rionex
RIZIKI – C1,Wheat (Triticum aestivum.L),ARI Selian,2006,https://www.tosci.go.tz/seed-varieties/riziki-c1
Riziki –C2,Wheat (Triticum aestivum.L),ARI Selian,2006,https://www.tosci.go.tz/seed-varieties/riziki-c2
ROCK F1,Broccoli ( Brassica oleracea var. italica ),CONTINENTAL SEEDS,2021,https://www.tosci.go.tz/seed-varieties/rock-f1
Rodeo,Round Potato (Solanum tuberosum),Silverlands Ndolela Limited,2022,https://www.tosci.go.tz/seed-varieties/rodeo
Rojo,Bean (Phaseolus vulgaris L.),SUA,1997,https://www.tosci.go.tz/seed-varieties/rojo
ROMA VF,Tomato (Solanum lycopersicum),TASTA,2021,https://www.tosci.go.tz/seed-varieties/roma-vf
ROMUS F1,Cabbage (Brassica oleracea var. capitata  ),BALTON Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/romus-f1
Rosenda,Bean (Phaseolus vulgaris L.),ARI Uyole,2012,https://www.tosci.go.tz/seed-varieties/rosenda
Rossy F1,Cabbage (Brassica oleracea var. capitata),Rijk Zwaan Afrisem Ltd,2023,https://www.tosci.go.tz/seed-varieties/rossy-f1
Royal 703 F1,Tomato (Solanum lycopersicum),Osho Chemicals Industries Ltd,2024,https://www.tosci.go.tz/seed-varieties/royal-703-f1
Royal 705 F1,Tomato (Solanum lycopersicum),Osho Chemicals Industries Ltd,2024,https://www.tosci.go.tz/seed-varieties/royal-705-f1
RUBY F1,Tomato (Solanum lycopersicum),East African Seeds (T) Ltd,2021,https://www.tosci.go.tz/seed-varieties/ruby-f1
RUBY-PERFECTION F1,Cabbage (Brassica oleracea var. capitata  ),East African Seeds (T) Ltd,2021,https://www.tosci.go.tz/seed-varieties/ruby-perfection-f1
Rumba,Round Potato (Solanum tuberosum),Mtanga Foods Ltd,2017,https://www.tosci.go.tz/seed-varieties/rumba
Rungwe,Ethiopian mustard (Brasica carinata),HORTI-Tengeru,2011,https://www.tosci.go.tz/seed-varieties/rungwe
RUSSET F1,Onion (Allium cepa L  ),BALTON Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/russet-f1
S1,Sweetcorn (Zea mays ),CHAREON POKPHAND PRODUCE CO. LTD.,2021,https://www.tosci.go.tz/seed-varieties/s1
S3,Sweetcorn (Zea mays ),CHAREON POKPHAND PRODUCE CO. LTD.,2021,https://www.tosci.go.tz/seed-varieties/s3
SAFA F1,Tomato (Solanum lycopersicum),East African Seeds (T) Ltd,2021,https://www.tosci.go.tz/seed-varieties/safa-f1
SAFARI F1,Papaya,VETAGRO EAST AFRICA LTD,2025,https://www.tosci.go.tz/seed-varieties/safari-f1
SAFI F1,Pumpkin (Cucurbita pepo  ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/safi-f1
Sagita,Round Potato (Solanum tuberosum),Mtanga Foods Ltd,2017,https://www.tosci.go.tz/seed-varieties/sagita
SAHEM,Chill pepper ( Capsicum annuum ),Syngenta Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/sahem
SAIDAH,Chill pepper ( Capsicum annuum ),Syngenta Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/saidah
SAKILA20,Bean (Phaseolus vulgaris L.),Sokoine University of Agriculture (SUA),2021,https://www.tosci.go.tz/seed-varieties/sakila20
Salina F1,Tomato (Solanum lycopersicum),Epinav Agricultural Solution,2023,https://www.tosci.go.tz/seed-varieties/salina-f1
SAMANTHA,Garden beans ( Phaseolus vulgaris ),MONSANTO TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/samantha
Sana F1,Tomato (Solanum lycopersicum),Agrichem Africa Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/sana-f1
SANGE SOYA 01,SOYA,Sange Agro Seeds Co. Ltd,2025,https://www.tosci.go.tz/seed-varieties/sange-soya-01
SANTA F1,Sweet pepper (Capsicum annuum),Agrichem Africa Ltd,2021,https://www.tosci.go.tz/seed-varieties/santa-f1
Santorini F1,Sweet pepper (Capsicum annum L.),Seedco Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/santorini-f1
Sawia 98 (Virginia),Ground nut (Arachis hypogeae L.),ARI Naliendele,1998,https://www.tosci.go.tz/seed-varieties/sawia-98-virginia
SC 303,Maize (Zea mays L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-303
SC 403,Maize (Zea mays L.),SEED CO. Ltd,2003,https://www.tosci.go.tz/seed-varieties/sc-403
SC 407,Maize (Zea mays L.),SEED CO. Ltd,2003,https://www.tosci.go.tz/seed-varieties/sc-407
SC 419,Maize (Zea mays L.),SEEDCO TANZANIA LTD,2018,https://www.tosci.go.tz/seed-varieties/sc-419
SC 513,Maize (Zea mays L.),SEED CO. Ltd,2003,https://www.tosci.go.tz/seed-varieties/sc-513
SC 529,Maize (Zea mays L.),SeedCo Tanzania Ltd,2014,https://www.tosci.go.tz/seed-varieties/sc-529
SC 533,Maize (Zea mays L.),SeedCo Tanzania Ltd,2014,https://www.tosci.go.tz/seed-varieties/sc-533
SC 608,Maize (Zea mays L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-608
SC 627,Maize (Zea mays L.),Seed  Co. Ltd,2001,https://www.tosci.go.tz/seed-varieties/sc-627
SC 633,Maize (Zea mays L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-633
SC 637,Maize (Zea mays L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-637
SC 713,Maize (Zea mays L.),SEED CO. Ltd,2003,https://www.tosci.go.tz/seed-varieties/sc-713
SC 719,Maize (Zea mays L.),SeedCo Tanzania Ltd,2014,https://www.tosci.go.tz/seed-varieties/sc-719
SC 727,Maize (Zea mays L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-727
Sc Bounty,Bean (Phaseolus vulgaris L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-bounty
SC Nduna,Wheat (Triticum aestivum.L),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-nduna
SC Orion,Ground nut (Arachis hypogeae L.),Klein Kaoo Seed Marketing Zimbabwe,2019,https://www.tosci.go.tz/seed-varieties/sc-orion
Sc Saxon,Soya Bean [Glycine max (L.) Merr.],SeedCo Tanzania Ltd,2019,https://www.tosci.go.tz/seed-varieties/sc-saxon
Sc Semeki,Soya Bean [Glycine max (L.) Merr.],SeedCo Tanzania Ltd,2019,https://www.tosci.go.tz/seed-varieties/sc-semeki
SC Shaku,Sorghum (Sorghum bicolor (L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-shaku
SC Shime,Wheat (Triticum aestivum.L),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/sc-shime
Sc Signal,Soya Bean [Glycine max (L.) Merr.],SeedCo Tanzania Ltd,2019,https://www.tosci.go.tz/seed-varieties/sc-signal
SEGAR F1,Tomato (Solanum lycopersicum),BALTON TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/segar-f1
Selian 05,Bean (Phaseolus vulgaris L.),ARI Selian,2005,https://www.tosci.go.tz/seed-varieties/selian-05
SELIAN 06,Bean (Phaseolus vulgaris L.),ARI Selian,2007,https://www.tosci.go.tz/seed-varieties/selian-06
SELIAN 09,Bean (Phaseolus vulgaris L.),ARI SELIAN,2018,https://www.tosci.go.tz/seed-varieties/selian-09
SELIAN 10,Bean (Phaseolus vulgaris L.),ARI SELIAN,2018,https://www.tosci.go.tz/seed-varieties/selian-10
SELIAN 11,Bean (Phaseolus vulgaris L.),ARI SELIAN,2018,https://www.tosci.go.tz/seed-varieties/selian-11
SELIAN 12,Bean (Phaseolus vulgaris L.),ARI SELIAN,2018,https://www.tosci.go.tz/seed-varieties/selian-12
SELIAN 13,Bean (Phaseolus vulgaris L.),ARI SELIAN,2018,https://www.tosci.go.tz/seed-varieties/selian-13
SELIAN 14,Bean (Phaseolus vulgaris L.),ARI SELIAN,2018,https://www.tosci.go.tz/seed-varieties/selian-14
SELIAN 15,Bean (Phaseolus vulgaris L.)+D3D322:D335,ARI SELIAN,2018,https://www.tosci.go.tz/seed-varieties/selian-15
Selian 87,Wheat (Triticum aestivum.L),ARI Selian,1987,https://www.tosci.go.tz/seed-varieties/selian-87
Selian 94,Bean (Phaseolus vulgaris L.),ARI Selian,1994,https://www.tosci.go.tz/seed-varieties/selian-94
Selian 97,Bean (Phaseolus vulgaris L.),ARI Selian,1997,https://www.tosci.go.tz/seed-varieties/selian-97
SELIAN H208,Maize (Zea mays L.),ARI-Selian,2009,https://www.tosci.go.tz/seed-varieties/selian-h208
Selian H215,Maize (Zea mays L.),ARI Selian,2016,https://www.tosci.go.tz/seed-varieties/selian-h215
SELIAN H308,Maize (Zea mays L.),ARI-Selian,2009,https://www.tosci.go.tz/seed-varieties/selian-h308
Serena,Sorghum (Sorghum bicolor (L.),EAC,1960,https://www.tosci.go.tz/seed-varieties/serena
SHABIKI,Watermelon  (Citrullus lanatus    ),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/shabiki
Shangwe,Wheat (Triticum aestivum.L),ARI Uyole,2014,https://www.tosci.go.tz/seed-varieties/shangwe
Shani F1,Kale,Syngenta,2023,https://www.tosci.go.tz/seed-varieties/shani-f1
SHANTY F1,Tomato (Solanum lycopersicum),Kibo Seeds Company Ltd,2021,https://www.tosci.go.tz/seed-varieties/shanty-f1
SHELTER RZ F1,Tomato (Solanum lycopersicum),Rijk Zwaan Afrisem Ltd,2021,https://www.tosci.go.tz/seed-varieties/shelter-rz-f1
Sherekea,Round Potato (Solanum tuberosum),Horti - Tengeru,2012,https://www.tosci.go.tz/seed-varieties/sherekea
Shibe,Pearl Millet (Pennisetum glaucum L.),ARI Ilonga,1994,https://www.tosci.go.tz/seed-varieties/shibe
Shinje,Ground nut (Arachis hypogeae L.),Seed Co Zambia,2019,https://www.tosci.go.tz/seed-varieties/shinje
SHIRA,Barley (Hordeum vulgare L.),TBL,2012,https://www.tosci.go.tz/seed-varieties/shira
Shirikure,Sorghum (Sorghum bicolor (L.),Klein Karoo Seed Marketing Zimbabwe,2019,https://www.tosci.go.tz/seed-varieties/shirikure
Sifa,Wheat (Triticum aestivum.L),ARI Uyole,2004,https://www.tosci.go.tz/seed-varieties/sifa
SIFA F1,Tomato (Solanum lycopersicum),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/sifa-f1
Sifra,Round Potato (Solanum tuberosum),HZPC IPR B.V,2019,https://www.tosci.go.tz/seed-varieties/sifra
Sila,Sorghum (Sorghum bicolor (L.),SEEDCO,2008,https://www.tosci.go.tz/seed-varieties/sila
Simama,Sweet potatoes (Ipomea batatas L.),ARI Ukiriguru,2000,https://www.tosci.go.tz/seed-varieties/simama
Sinia,Sweet potatoes (Ipomea batatas L.),ARI Ukiriguru,2000,https://www.tosci.go.tz/seed-varieties/sinia
SINTA F1,Papaya (Carica papaya  ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/sinta-f1
Situka  2,Maize (Zea mays L.),AR-Selian,2001,https://www.tosci.go.tz/seed-varieties/situka-2
Situka-M1,Maize (Zea mays L.),AR-Selian,2001,https://www.tosci.go.tz/seed-varieties/situka-m1
SNOW BALL 1,Cauliflower (Brassica oleracea var. botrytis  ),KIBO SEEDS/ EASEED,2021,https://www.tosci.go.tz/seed-varieties/snow-ball-1
SOLEADO,Sunflower (Helianthus annus L.),East African Seed(T) Company Limited,2020,https://www.tosci.go.tz/seed-varieties/soleado
Soya Uyole-1,Soya Bean [Glycine max (L.) Merr.],ARI- Uyole,2002,https://www.tosci.go.tz/seed-varieties/soya-uyole-1
Soya Uyole-3,Soya Bean [Glycine max (L.) Merr.],ARI-Uyole,2010,https://www.tosci.go.tz/seed-varieties/soya-uyole-3
SPARK F1,Pak choi,CONTINENTAL SEED COMPANY LTD,2025,https://www.tosci.go.tz/seed-varieties/spark-f1
Spiner F1,Collard (Brsassica oleracea var.viridis),Continental seeds,2023,https://www.tosci.go.tz/seed-varieties/spiner-f1
SSG 564,Barley (Hordeum vulgare L.),TBL,2011,https://www.tosci.go.tz/seed-varieties/ssg-564
Staha,Maize (Zea mays L.),ARI - Ilonga,1983,https://www.tosci.go.tz/seed-varieties/staha
STALLION F1,Tomato (Solanum lycopersicum),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/stallion-f1
STARLET.,Sweet pepper (Capsicum annuum),Rijk Zwaan Afrisem Ltd,2021,https://www.tosci.go.tz/seed-varieties/starlet
STETHAM RZ F1,Blanched celery (Apium graveolens  ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/stetham-rz-f1
STEVE F1,Tomato (Solanum lycopersicum),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/steve-f1
STONEWALL F1,Cucumber,PRIME SEED CO (PRIVATE) LTD,2025,https://www.tosci.go.tz/seed-varieties/stonewall-f1
SUA Kalima,Bean (Phaseolus vulgaris L.),Sokoine University of Agriculture (SUA),2021,https://www.tosci.go.tz/seed-varieties/sua-kalima
SUA-AMAR1,Amaranth,SOKOINE UNIVERSITY OF AGRICULTURE,2025,https://www.tosci.go.tz/seed-varieties/sua-amar1
SUABRL4,Bean (Phaseolus vulgaris L.),Sokoine University of Agriculture (SUA),2021,https://www.tosci.go.tz/seed-varieties/suabrl4
SUABRL9,Bean (Phaseolus vulgaris L.),Sokoine University of Agriculture (SUA),2021,https://www.tosci.go.tz/seed-varieties/suabrl9
Subira,Barley (Hordeum vulgare L.),TBL,1995,https://www.tosci.go.tz/seed-varieties/subira
SUGAR BABY,Watermelon  (Citrullus lanatus    ),TASTA,2021,https://www.tosci.go.tz/seed-varieties/sugar-baby
SUGAR KING F1,Sweetcorn (Zea mays ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/sugar-king-f1
SUGAR QUEEN F1,Watermelon  (Citrullus lanatus    ),AFRICASIA SEED CO. LTD,2021,https://www.tosci.go.tz/seed-varieties/sugar-queen-f1
SUKARI F1,Watermelon  (Citrullus lanatus    ),East African Seeds (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/sukari-f1
SULTAN F1,Tomato (Solanum lycopersicum),BYTRADE Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/sultan-f1
Suma,Cassava  (Manihot spp.),ARI-Ukiriguru,2009,https://www.tosci.go.tz/seed-varieties/suma
Supa,Paddy (Oryza sativa),ARI KATRIN,,https://www.tosci.go.tz/seed-varieties/supa
SUPER BELL F1,Sweet pepper (Capsicum annuum),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/super-bell-f1
SUPER HABANERO F1,Hot pepper (Capsicum annuum ),Balton Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/super-habanero-f1
SUPERSUN 64,Sunflower (Helianthus annus L.),Silversands Ndolela LTd,2020,https://www.tosci.go.tz/seed-varieties/supersun-64
SUPERSUN 66,Sunflower (Helianthus annus L.),Silversands Ndolela LTd,2020,https://www.tosci.go.tz/seed-varieties/supersun-66
SV 7030NS,Onion (Allium cepa L  ),Monsanto Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/sv-7030ns
SV1541GA,Garden beans ( Phaseolus vulgaris ),MONSANTO TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/sv1541ga
SV1865PB,Sweet pepper,BAYER LIFESCIENCE TANZANIA LTD,2025,https://www.tosci.go.tz/seed-varieties/sv1865pb
SVTE6653,Tomato (Solanum lycopersicum),MONSANTO TZ LTD,2022,https://www.tosci.go.tz/seed-varieties/svte6653
SVTE8805,Tomato,BAYER LIFESCIENCE TANZANIA LTD,2025,https://www.tosci.go.tz/seed-varieties/svte8805
SWADESHI 24 F1,Tomato,BIDDI ENTERPRISES LTD,2025,https://www.tosci.go.tz/seed-varieties/swadeshi-24-f1
SWADESHI 40 F1,Tomato,BIDDI ENTERPRISES LTD,2025,https://www.tosci.go.tz/seed-varieties/swadeshi-40-f1
SWADESHI 66 F1,Tomato,BIDDI ENTERPRISES LTD,2025,https://www.tosci.go.tz/seed-varieties/swadeshi-66-f1
SWADESHI F1,Tomato,BIDDI ENTERPRISES LTD,2025,https://www.tosci.go.tz/seed-varieties/swadeshi-f1
SWEETIE F1,Watermelon  (Citrullus lanatus    ),BALTON TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/sweetie-f1
Swingma,African nightshade  (Solanum scabrum),Continental seeds Company,2023,https://www.tosci.go.tz/seed-varieties/swingma
SY 455,Maize (Zea mays L.),Syngenta SA,2019,https://www.tosci.go.tz/seed-varieties/sy-455
SY 5054,Maize (Zea mays L.),Syngenta Tanzania Ltd,2020,https://www.tosci.go.tz/seed-varieties/sy-5054
SY 514,Maize (Zea mays L.),Syngenta Tanzania td,2017,https://www.tosci.go.tz/seed-varieties/sy-514
SY 5344,Maize (Zea mays L.),Syngenta Tanzania td,2019,https://www.tosci.go.tz/seed-varieties/sy-5344
SY 614,Maize (Zea mays L.),Syngenta SA,2019,https://www.tosci.go.tz/seed-varieties/sy-614
SY 624,Maize (Zea mays L.),Syngenta Tanzania td,2017,https://www.tosci.go.tz/seed-varieties/sy-624
SY 634,Maize (Zea mays L.),Syngenta Tanzania td,2017,https://www.tosci.go.tz/seed-varieties/sy-634
SY 6444,Maize (Zea mays L.),Syngenta Tanzania td,2019,https://www.tosci.go.tz/seed-varieties/sy-6444
SY 734,Maize (Zea mays L.),Syngenta SA,2019,https://www.tosci.go.tz/seed-varieties/sy-734
T-279,Barley (Hordeum vulgare L.),TBL,2012,https://www.tosci.go.tz/seed-varieties/t-279
T. Tembo,Triticale,ARI Uyole,1982,https://www.tosci.go.tz/seed-varieties/t-tembo
T104,Maize (Zea mays L.),ARI Tumbi,2016,https://www.tosci.go.tz/seed-varieties/t104
T105,Maize (Zea mays L.),ARI Tumbi,2016,https://www.tosci.go.tz/seed-varieties/t105
T128 IS F1,Tomato (Solanum lycopersicum),INDAF SEED & TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/t128-is-f1
T129 IS F1,Tomato (Solanum lycopersicum),INDAF SEED & TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/t129-is-f1
T130 IS F1,Tomato (Solanum lycopersicum),INDAF SEED & TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/t130-is-f1
T131 IS F1,Tomato (Solanum lycopersicum),INDAF SEED & TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/t131-is-f1
T135 IS F1,Tomato (Solanum lycopersicum),INDAF SEED & TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/t135-is-f1
TACOMA RZ F1,Cabbage (Brassica oleracea var. capitata  ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/tacoma-rz-f1
TaCRI1F,Coffee (Coffea arabica),TaCRI,2013,https://www.tosci.go.tz/seed-varieties/tacri1f
TaCRI3F,Coffee (Coffea arabica),TaCRI,2013,https://www.tosci.go.tz/seed-varieties/tacri3f
TaCRI4F,Coffee (Coffea arabica),TaCRI,2013,https://www.tosci.go.tz/seed-varieties/tacri4f
TaCRI6F,Coffee (Coffea arabica),TaCRI,2013,https://www.tosci.go.tz/seed-varieties/tacri6f
TAHOE,Broccoli ( Brassica oleracea var. italica ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/tahoe
Tai,Paddy (Oryza sativa),KATRIN,2012,https://www.tosci.go.tz/seed-varieties/tai
TAJIRIKA,Onion (Allium cepa L  ),East African Seeds (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/tajirika
TALIRIALFA1,Lucerne (Medicago sativa),Tanzania Livestock Research Institute,2024,https://www.tosci.go.tz/seed-varieties/talirialfa1
TALIRICENCH1,Buffel grass(Cenchrus ciliaris),Tanzania Livestock Research Institute,2024,https://www.tosci.go.tz/seed-varieties/taliricench1
TALIRICHLO1,Greenleaf desmodium (Desmodium intortum),Tanzania Livestock Research Institute,2024,https://www.tosci.go.tz/seed-varieties/talirichlo1
TALIRIDESMO1,Buffel grass(Cenchrus ciliaris),Tanzania Livestock Research Institute,2024,https://www.tosci.go.tz/seed-varieties/taliridesmo1
TALIRIMACRO1,Siratro (Macroptilium atropurpureum),Tanzania Livestock Risearch Institute,2024,https://www.tosci.go.tz/seed-varieties/talirimacro1
TAN 222,Maize (Zea mays L.),Tanseed International,2009,https://www.tosci.go.tz/seed-varieties/tan-222
TAN 250,Maize (Zea mays L.),Tanseed International Ltd,2006,https://www.tosci.go.tz/seed-varieties/tan-250
TAN 254,Maize (Zea mays L.),Tanseed International Ltd,2006,https://www.tosci.go.tz/seed-varieties/tan-254
TAN H600,Maize (Zea mays L.),Tanseed International,2009,https://www.tosci.go.tz/seed-varieties/tan-h600
TAN H611,Maize (Zea mays L.),Tanseed International Ltd,2006,https://www.tosci.go.tz/seed-varieties/tan-h611
