variety_name,crop_full,registrant,year,detail_url
MINOR EARLY,Radish ( Raphanus sativus ),East African Seeds (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/minor-early
Mkombozi,Cassava  (Manihot spp.),ARI-Ukiriguru,2009,https://www.tosci.go.tz/seed-varieties/mkombozi
MKOMBOZI F1,Watermelon  (Citrullus lanatus    ),EAST WEST SEEDS,2021,https://www.tosci.go.tz/seed-varieties/mkombozi-f1
Mkulima,Sweet potatoes (Ipomea batatas L.),ARI – Ukiriguru,2017,https://www.tosci.go.tz/seed-varieties/mkulima
Mkumba,Cassava  (Manihot spp.),ARI Naliendele,2012,https://www.tosci.go.tz/seed-varieties/mkumba
Mkuranga-1,Cassava  (Manihot spp.),ARI Kibaha,2014,https://www.tosci.go.tz/seed-varieties/mkuranga-1
Mlezi,Sweet potatoes (Ipomea batatas L.),ARI – Ukiriguru,2013,https://www.tosci.go.tz/seed-varieties/mlezi
MONALISA F1,Cucumber (Cucumis sativus  ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/monalisa-f1
MONDAÏ RZ,Letuce (Lactuca sativa  ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/mondai-rz
MONDIAL RZ F1,Radish ( Raphanus sativus ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/mondial-rz-f1
MONEERA,Cauliflower (Brassica oleracea var. botrytis  ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/moneera
MONICA,Tomato (Solanum lycopersicum),BALTON TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/monica
MONICA F1,Tomato (Solanum lycopersicum),Kibo Seeds Company Ltd,2021,https://www.tosci.go.tz/seed-varieties/monica-f1
MONTARA F1,Cabbage (Brassica oleracea var. capitata  ),BALTON TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/montara-f1
MONTEAZUL,Tomato (Solanum lycopersicum),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/monteazul
MORGAN Rijk,Watermelon  (Citrullus lanatus    ),Zwaan Afrisem Ltd,2021,https://www.tosci.go.tz/seed-varieties/morgan-rijk
MOROGORO F1,Tomato (Solanum lycopersicum),East African Seeds (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/morogoro-f1
MOSCATEL RZ F1,Tomato (Solanum lycopersicum),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/moscatel-rz-f1
MOYO F1,Tomato (Solanum lycopersicum),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/moyo-f1
Mshindi,Bean (Phaseolus vulgaris L.),SUA,2006,https://www.tosci.go.tz/seed-varieties/mshindi
MSHINDI F1,Watermelon  (Citrullus lanatus    ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/mshindi-f1
Mtondo 2013,Sesame (Sesamum indicum L.),ARI Naliendele,2014,https://www.tosci.go.tz/seed-varieties/mtondo-2013-2
MTWARANUT 2016,Ground nut (Arachis hypogeae L.),ARI-Naliendele,2018,https://www.tosci.go.tz/seed-varieties/mtwaranut-2016
MUJUNZA,Maharage,TANZANIA AGRICULTURAL RESEARCH INSTITUTE,2025,https://www.tosci.go.tz/seed-varieties/majunza
Muleba 1,Coffee (Coffea arabica),TaCRI,2011,https://www.tosci.go.tz/seed-varieties/muleba-1
Mumba,Cassava  (Manihot spp.),SRI Kibaha,2003,https://www.tosci.go.tz/seed-varieties/mumba
MWANGAZA,Tomato (Solanum lycopersicum),East African Seeds (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/mwangaza-3
Mwanza 1,Chickpeas (Cicer arietinum L.),ARI-Ukiriguru,2011,https://www.tosci.go.tz/seed-varieties/mwanza-1
Mwanza 2,Chickpeas (Cicer arietinum L.),ARI-Ukiriguru,2011,https://www.tosci.go.tz/seed-varieties/mwanza-2
Mwendokasi,Hot pepper (Capsicum annum L.),AYEGRO GROUP LTD,2023,https://www.tosci.go.tz/seed-varieties/mwendokasi
Mwenezi,Soya Bean [Glycine max (L.) Merr.],Klein Karoo Seed Marketing Zimbabwe,2019,https://www.tosci.go.tz/seed-varieties/mwenezi
MYDAS,Cucumber (Cucumis sativus  ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/mydas
N 19,Sugar cane (Saccharum officinarum),SRI-Kibaha,2009,https://www.tosci.go.tz/seed-varieties/n-19
N 25,Sugar cane (Saccharum officinarum),SRI-Kibaha,2009,https://www.tosci.go.tz/seed-varieties/n-25
N 30,Sugar cane (Saccharum officinarum),SRI-Kibaha,2014,https://www.tosci.go.tz/seed-varieties/n-30
N 39-1,Coffee (Coffea arabica),TaCRI,2005,https://www.tosci.go.tz/seed-varieties/n-39-1
N 39-2,Coffee (Coffea arabica),TaCRI,2005,https://www.tosci.go.tz/seed-varieties/n-39-2
N 39-3,Coffee (Coffea arabica),TaCRI,2005,https://www.tosci.go.tz/seed-varieties/n-39-3
N 39-4,Coffee (Coffea arabica),TaCRI,2005,https://www.tosci.go.tz/seed-varieties/n-39-4
N 39-5,Coffee (Coffea arabica),TaCRI,2005,https://www.tosci.go.tz/seed-varieties/n-39-5
N 39-6,Coffee (Coffea arabica),TaCRI,2005,https://www.tosci.go.tz/seed-varieties/n-39-6
